open;high;low;close;volume
2022-01-20 09:56:00.050230;109400.0;109425.0;108810.0;109000.0;1547717
2022-01-20 10:23:00.572370;109000.0;109360.0;108800.0;109335.0;1760480
2022-01-20 10:53:00.181330;109335.0;109765.0;109090.0;109680.0;1746089
2022-01-20 11:35:00.481000;109680.0;110030.0;109560.0;109855.0;1723640
2022-01-20 12:07:00.060670;109855.0;110125.0;109605.0;110035.0;1787180
2022-01-20 13:11:00.079070;110035.0;110175.0;109805.0;110065.0;1782443
2022-01-20 14:30:00.433930;110070.0;110435.0;109910.0;110405.0;1815419
2022-01-20 15:51:00.006030;110410.0;110465.0;110190.0;110395.0;2115907
2022-01-20 17:04:00.131370;110395.0;110515.0;110005.0;110015.0;2168292
2022-01-20 18:31:00.259830;110015.0;110055.0;109595.0;109850.0;2060881
2022-01-21 09:45:00.592670;109850.0;109850.0;108890.0;109245.0;1540435
2022-01-21 10:14:00.455170;109245.0;109355.0;108900.0;109050.0;1658416
2022-01-21 10:47:00.101200;109050.0;109615.0;108980.0;109600.0;1783599
2022-01-21 11:24:00.065730;109600.0;109900.0;109535.0;109680.0;1809920
2022-01-21 11:47:00.118900;109675.0;110405.0;109645.0;110405.0;1856729
2022-01-21 12:14:00.523470;110405.0;110430.0;109575.0;109645.0;1770385
2022-01-21 12:44:00.313830;109645.0;110045.0;109470.0;109880.0;1656260
2022-01-21 13:22:00.442770;109880.0;110125.0;109740.0;110085.0;1633605
2022-01-21 14:09:00.098770;110085.0;110160.0;109720.0;109750.0;1689229
2022-01-21 14:53:00.016300;109750.0;109965.0;109585.0;109715.0;1721136
2022-01-21 15:35:00.225600;109715.0;109795.0;109250.0;109330.0;1731232
2022-01-21 16:31:00.328930;109330.0;109860.0;109300.0;109690.0;1755792
2022-01-21 17:28:00.554170;109685.0;109915.0;109170.0;109250.0;1845638
2022-01-25 09:16:00.370100;109250.0;109645.0;108080.0;108125.0;1529880
2022-01-25 10:02:00.325300;108125.0;108155.0;107720.0;107815.0;1629677
2022-01-25 10:28:00.156230;107815.0;108220.0;107625.0;108030.0;1706318
2022-01-25 10:58:00.337800;108025.0;108830.0;107940.0;108800.0;1778657
2022-01-25 11:33:00.193630;108800.0;109250.0;108645.0;109130.0;1809512
2022-01-25 11:55:00.116530;109130.0;109315.0;108520.0;108605.0;1785680
2022-01-25 12:20:00.298470;108605.0;108770.0;108155.0;108550.0;1666895
