open;high;low;close;volume
2021-12-15 09:00:00;108400.0;108780.0;108235.0;108750.0;1575683
2021-12-15 10:00:00;108750.0;108880.0;107675.0;107935.0;3612568
2021-12-15 11:00:00;107940.0;108490.0;107280.0;107355.0;3039941
2021-12-15 12:00:00;107350.0;107985.0;107175.0;107680.0;1824929
2021-12-15 13:00:00;107675.0;108350.0;107645.0;107910.0;1714521
2021-12-15 14:00:00;107910.0;108485.0;107700.0;108310.0;1662339
2021-12-15 15:00:00;108305.0;108520.0;108065.0;108420.0;1614728
2021-12-15 16:00:00;108425.0;109145.0;107720.0;108055.0;2531097
2021-12-15 17:00:00;108055.0;108990.0;107990.0;108925.0;1471286
2021-12-15 18:00:00;108925.0;109075.0;108725.0;109075.0;211983
2021-12-16 09:00:00;109830.0;110500.0;109725.0;109980.0;2189898
2021-12-16 10:00:00;109980.0;110535.0;109860.0;109940.0;2738050
2021-12-16 11:00:00;109935.0;110265.0;109360.0;109565.0;3526096
2021-12-16 12:00:00;109560.0;109900.0;109200.0;109660.0;2291210
2021-12-16 13:00:00;109665.0;110205.0;109425.0;109715.0;1734068
2021-12-16 14:00:00;109715.0;109955.0;109445.0;109460.0;1439905
2021-12-16 15:00:00;109465.0;109975.0;109440.0;109875.0;1286025
2021-12-16 16:00:00;109875.0;109965.0;109180.0;109440.0;1703414
2021-12-16 17:00:00;109445.0;110120.0;109140.0;109840.0;1546729
2021-12-16 18:00:00;109840.0;109980.0;109755.0;109965.0;214759
2021-12-17 09:00:00;109470.0;109500.0;108715.0;108865.0;1823827
2021-12-17 10:00:00;108865.0;108945.0;108510.0;108755.0;2414023
2021-12-17 11:00:00;108755.0;108990.0;108080.0;108280.0;3153534
2021-12-17 12:00:00;108285.0;108985.0;107910.0;108870.0;2501035
2021-12-17 13:00:00;108870.0;109150.0;108635.0;108870.0;1985118
2021-12-17 14:00:00;108865.0;109335.0;108560.0;109145.0;2028488
2021-12-17 15:00:00;109140.0;109275.0;108900.0;109250.0;1663470
2021-12-17 16:00:00;109250.0;109265.0;108735.0;108855.0;1465642
2021-12-17 17:00:00;108855.0;108975.0;108410.0;108725.0;1499680
2021-12-17 18:00:00;108725.0;108775.0;108395.0;108495.0;282806
2021-12-20 09:00:00;107200.0;107420.0;106915.0;107260.0;1810042
2021-12-20 10:00:00;107260.0;107360.0;106430.0;106560.0;3294642
2021-12-20 11:00:00;106565.0;106705.0;106095.0;106490.0;2948417
