open;high;low;close;volume
2021-04-14 09:00:00;119490.0;120020.0;119490.0;119705.0;1230564
2021-04-14 10:00:00;119700.0;120675.0;119625.0;120595.0;2571533
2021-04-14 11:00:00;120595.0;120950.0;120540.0;120925.0;1395736
2021-04-14 12:00:00;120925.0;120960.0;120775.0;120885.0;841823
2021-04-14 13:00:00;120890.0;121370.0;120755.0;121300.0;1283705
2021-04-14 14:00:00;121300.0;121345.0;120855.0;120955.0;1394217
2021-04-14 15:00:00;120960.0;120985.0;120545.0;120645.0;1729597
2021-04-14 16:00:00;120650.0;120900.0;120485.0;120730.0;1485086
2021-04-14 17:00:00;120735.0;120810.0;120625.0;120690.0;480919
2021-04-14 18:00:00;120825.0;120825.0;120825.0;120825.0;9346
2021-04-15 09:00:00;121000.0;121250.0;120760.0;121165.0;1603553
2021-04-15 10:00:00;121160.0;121880.0;121040.0;121610.0;2790959
2021-04-15 11:00:00;121610.0;121645.0;120700.0;120975.0;2670304
2021-04-15 12:00:00;120970.0;121260.0;120905.0;121185.0;2025816
2021-04-15 13:00:00;121190.0;121560.0;121110.0;121145.0;1717312
2021-04-15 14:00:00;121140.0;121300.0;120840.0;121160.0;2200206
2021-04-15 15:00:00;121160.0;121200.0;120540.0;121065.0;1988910
2021-04-15 16:00:00;121070.0;121180.0;120820.0;121100.0;1498842
2021-04-15 17:00:00;121100.0;121295.0;120920.0;121270.0;490845
2021-04-15 18:00:00;121250.0;121250.0;121250.0;121250.0;8334
2021-04-16 09:00:00;121200.0;121410.0;120880.0;120970.0;1493129
2021-04-16 10:00:00;120975.0;121470.0;120655.0;120710.0;3303643
2021-04-16 11:00:00;120710.0;121370.0;120620.0;121125.0;2345003
2021-04-16 12:00:00;121130.0;121570.0;121100.0;121370.0;1965726
2021-04-16 13:00:00;121370.0;121665.0;121195.0;121370.0;1694594
2021-04-16 14:00:00;121365.0;121750.0;121290.0;121665.0;1571739
2021-04-16 15:00:00;121670.0;121860.0;121480.0;121550.0;1650293
2021-04-16 16:00:00;121555.0;121620.0;121315.0;121505.0;1407019
2021-04-16 17:00:00;121500.0;121670.0;121465.0;121570.0;494281
2021-04-16 18:00:00;121620.0;121620.0;121620.0;121620.0;8835
2021-04-19 09:00:00;121500.0;121925.0;121465.0;121530.0;1279774
2021-04-19 10:00:00;121535.0;121710.0;121220.0;121440.0;2801066
2021-04-19 11:00:00;121440.0;122065.0;121090.0;121625.0;2990987
2021-04-19 12:00:00;121625.0;122475.0;121525.0;122170.0;2279203
2021-04-19 13:00:00;122170.0;122360.0;121625.0;121795.0;1557122
2021-04-19 14:00:00;121790.0;122110.0;121765.0;121925.0;1313372
2021-04-19 15:00:00;121920.0;122360.0;121730.0;121880.0;1648568
2021-04-19 16:00:00;121880.0;121950.0;121050.0;121475.0;1906163
2021-04-19 17:00:00;121475.0;121500.0;121260.0;121350.0;526711
2021-04-19 18:00:00;121345.0;121345.0;121345.0;121345.0;9276
2021-04-20 09:00:00;120900.0;121200.0;120795.0;121040.0;1255617
2021-04-20 10:00:00;121040.0;121765.0;120735.0;120925.0;3678234
2021-04-20 11:00:00;120925.0;121490.0;120780.0;121005.0;2714869
2021-04-20 12:00:00;121010.0;121150.0;120410.0;120850.0;2343199
2021-04-20 13:00:00;120845.0;120930.0;120315.0;120470.0;1445561
2021-04-20 14:00:00;120470.0;120770.0;120260.0;120700.0;1553864
2021-04-20 15:00:00;120700.0;120850.0;120325.0;120405.0;1532555
2021-04-20 16:00:00;120400.0;120650.0;120270.0;120555.0;1268171
2021-04-20 17:00:00;120555.0;120570.0;120255.0;120280.0;541526
2021-04-20 18:00:00;120270.0;120270.0;120270.0;120270.0;7674
2021-04-22 09:00:00;120775.0;121175.0;120465.0;121155.0;1467502
2021-04-22 10:00:00;121160.0;121460.0;120225.0;120280.0;3284869
2021-04-22 11:00:00;120275.0;121335.0;120010.0;120610.0;3125409
2021-04-22 12:00:00;120610.0;120850.0;120415.0;120630.0;1791550
2021-04-22 13:00:00;120630.0;121020.0;120525.0;120665.0;1611035
2021-04-22 14:00:00;120665.0;120780.0;119625.0;120055.0;2908874
2021-04-22 15:00:00;120055.0;120420.0;119740.0;120040.0;1727440
2021-04-22 16:00:00;120040.0;120100.0;119615.0;119745.0;1682299
2021-04-22 17:00:00;119745.0;120265.0;119730.0;120170.0;572673
2021-04-22 18:00:00;120255.0;120255.0;120255.0;120255.0;9085
2021-04-23 09:00:00;120700.0;120865.0;120420.0;120580.0;1445601
2021-04-23 10:00:00;120575.0;121310.0;120400.0;120910.0;3265721
2021-04-23 11:00:00;120910.0;121085.0;120405.0;120510.0;2749820
2021-04-23 12:00:00;120515.0;120870.0;120300.0;120520.0;1776219
2021-04-23 13:00:00;120525.0;120930.0;120510.0;120835.0;1140663
2021-04-23 14:00:00;120830.0;120995.0;120640.0;120665.0;1117524
2021-04-23 15:00:00;120665.0;120980.0;120550.0;120925.0;1114660
2021-04-23 16:00:00;120930.0;121200.0;120770.0;120935.0;1055065
2021-04-23 17:00:00;120935.0;121255.0;120870.0;121220.0;522436
2021-04-23 18:00:00;121220.0;121220.0;121220.0;121220.0;10379
2021-04-26 09:00:00;121460.0;121595.0;121180.0;121470.0;1389369
2021-04-26 10:00:00;121475.0;121750.0;121090.0;121415.0;3068412
2021-04-26 11:00:00;121420.0;121440.0;121025.0;121295.0;2304897
