open;high;low;close;volume
2021-06-16 09:00:00;130705.0;131020.0;130580.0;130995.0;1490045
2021-06-16 10:00:00;131000.0;131120.0;130455.0;130470.0;3295984
2021-06-16 11:00:00;130470.0;130675.0;130255.0;130640.0;2473485
2021-06-16 12:00:00;130635.0;130790.0;130415.0;130600.0;1995180
2021-06-16 13:00:00;130605.0;131145.0;130530.0;131095.0;1865148
2021-06-16 14:00:00;131095.0;131165.0;130260.0;130855.0;2798232
2021-06-16 15:00:00;130855.0;130855.0;129085.0;129750.0;3901274
2021-06-16 16:00:00;129750.0;130565.0;129625.0;129935.0;2238928
2021-06-16 17:00:00;129935.0;130090.0;129855.0;129870.0;539356
2021-06-16 18:00:00;129945.0;129945.0;129945.0;129945.0;5814
2021-06-17 09:00:00;129850.0;130000.0;129415.0;129560.0;1656835
2021-06-17 10:00:00;129560.0;130745.0;129545.0;130425.0;3721322
2021-06-17 11:00:00;130425.0;130630.0;130115.0;130325.0;2781944
2021-06-17 12:00:00;130325.0;130405.0;129175.0;129205.0;3147545
2021-06-17 13:00:00;129205.0;129325.0;128600.0;129035.0;2710819
2021-06-17 14:00:00;129035.0;129380.0;128930.0;129255.0;2030705
2021-06-17 15:00:00;129250.0;129375.0;128325.0;128380.0;2190404
2021-06-17 16:00:00;128380.0;128900.0;128375.0;128675.0;1833854
2021-06-17 17:00:00;128675.0;129255.0;128665.0;129200.0;772099
2021-06-17 18:00:00;129290.0;129290.0;129290.0;129290.0;10766
2021-06-18 09:00:00;129350.0;129520.0;128355.0;128730.0;2175408
2021-06-18 10:00:00;128730.0;129095.0;128390.0;128520.0;3974473
2021-06-18 11:00:00;128525.0;129085.0;128250.0;128940.0;3296732
2021-06-18 12:00:00;128940.0;129050.0;128450.0;128590.0;2123951
2021-06-18 13:00:00;128590.0;128725.0;128275.0;128565.0;1638141
2021-06-18 14:00:00;128565.0;129120.0;128400.0;129120.0;1990562
2021-06-18 15:00:00;129120.0;129580.0;128845.0;128870.0;2348251
2021-06-18 16:00:00;128865.0;129190.0;128725.0;129050.0;1876279
2021-06-18 17:00:00;129050.0;129055.0;128470.0;128475.0;759692
2021-06-18 18:00:00;128510.0;128510.0;128510.0;128510.0;7722
2021-06-21 09:00:00;128995.0;129440.0;128850.0;129330.0;1606299
2021-06-21 10:00:00;129335.0;129340.0;128755.0;129000.0;3581947
2021-06-21 11:00:00;128995.0;129850.0;128875.0;129695.0;2596915
2021-06-21 12:00:00;129695.0;129860.0;129515.0;129590.0;1553913
2021-06-21 13:00:00;129590.0;129740.0;129450.0;129585.0;1381593
2021-06-21 14:00:00;129590.0;129760.0;129510.0;129705.0;1398232
2021-06-21 15:00:00;129705.0;130230.0;129660.0;129945.0;1939100
2021-06-21 16:00:00;129940.0;130050.0;129785.0;129990.0;1388274
2021-06-21 17:00:00;129990.0;130040.0;129875.0;129900.0;585331
2021-06-21 18:00:00;129900.0;129900.0;129900.0;129900.0;10670
2021-06-22 09:00:00;129915.0;129930.0;129225.0;129405.0;2050440
2021-06-22 10:00:00;129400.0;129505.0;128580.0;128595.0;3379231
2021-06-22 11:00:00;128595.0;128945.0;128480.0;128725.0;2676291
2021-06-22 12:00:00;128730.0;129265.0;128710.0;129005.0;2174609
2021-06-22 13:00:00;129005.0;129210.0;128835.0;129000.0;1785444
2021-06-22 14:00:00;129000.0;129105.0;128640.0;128830.0;2033909
2021-06-22 15:00:00;128830.0;129000.0;128675.0;128890.0;1850000
2021-06-22 16:00:00;128890.0;129690.0;128885.0;129590.0;2131105
2021-06-22 17:00:00;129590.0;129785.0;129150.0;129745.0;679204
2021-06-22 18:00:00;129760.0;129760.0;129760.0;129760.0;8111
