open;high;low;close;volume
2021-11-16 09:20:00.164830;107210.0;107365.0;106915.0;107160.0;629627
2021-11-16 09:41:00.047930;107160.0;107430.0;107080.0;107250.0;694865
2021-11-16 09:55:00.242730;107250.0;107605.0;107080.0;107475.0;714666
2021-11-16 10:09:00.498630;107475.0;107630.0;107225.0;107260.0;733577
2021-11-16 10:19:00.165400;107255.0;107500.0;106860.0;106960.0;740434
2021-11-16 10:32:00.467930;106965.0;106980.0;106335.0;106595.0;805850
2021-11-16 10:48:00.456200;106595.0;107035.0;106435.0;106955.0;781099
2021-11-16 11:01:00.270970;106955.0;107195.0;106365.0;106500.0;796027
2021-11-16 11:16:00.489000;106500.0;106540.0;105920.0;105990.0;855485
2021-11-16 11:35:00.355130;105990.0;106025.0;105645.0;105800.0;839359
2021-11-16 11:49:00.097500;105800.0;106010.0;105360.0;105370.0;870755
2021-11-16 12:09:00.171530;105375.0;105465.0;104955.0;105060.0;900416
2021-11-16 12:30:00.049930;105060.0;105260.0;104670.0;104720.0;883648
2021-11-16 12:58:00.052270;104715.0;105065.0;104610.0;104665.0;898949
2021-11-16 13:26:00.266770;104665.0;105165.0;104635.0;105120.0;891087
2021-11-16 13:59:00.188330;105120.0;105245.0;104875.0;105170.0;882751
2021-11-16 14:31:00.414400;105170.0;105270.0;104950.0;105195.0;909615
2021-11-16 14:56:00.116070;105190.0;105685.0;105180.0;105655.0;891420
2021-11-16 15:24:00.224600;105655.0;105795.0;105445.0;105620.0;894917
2021-11-16 15:57:00.063030;105620.0;105725.0;105325.0;105345.0;928639
2021-11-16 16:30:00.166030;105345.0;105515.0;105230.0;105430.0;919226
2021-11-16 17:02:00.211070;105430.0;105475.0;105015.0;105185.0;939238
2021-11-16 17:40:00.267700;105185.0;105200.0;104930.0;105135.0;915846
2021-11-17 09:00:00.566870;105135.0;105290.0;104765.0;104865.0;775928
2021-11-17 09:18:00.162870;104865.0;105545.0;104780.0;105440.0;680449
2021-11-17 09:37:00.230370;105435.0;105735.0;105425.0;105665.0;730491
2021-11-17 09:57:00.292470;105665.0;105950.0;105550.0;105950.0;751252
2021-11-17 10:13:00.054570;105950.0;106165.0;105865.0;106005.0;763983
2021-11-17 10:27:00.126500;106005.0;106135.0;105825.0;105945.0;733936
2021-11-17 10:36:00.419030;105945.0;106000.0;105175.0;105195.0;757930
2021-11-17 10:46:00.192130;105190.0;105525.0;104995.0;104995.0;837834
2021-11-17 10:59:00.126270;104995.0;105335.0;104765.0;105135.0;784002
2021-11-17 11:12:00.116470;105135.0;105145.0;104535.0;104595.0;756768
2021-11-17 11:26:00.404600;104595.0;105220.0;104560.0;105120.0;753801
2021-11-17 11:40:00.509700;105120.0;105235.0;104780.0;104925.0;772877
2021-11-17 11:54:00.010870;104920.0;105365.0;104805.0;104830.0;810073
2021-11-17 12:06:00.374630;104830.0;104860.0;104200.0;104495.0;851786
2021-11-17 12:25:00.122170;104495.0;104680.0;103985.0;104330.0;825254
2021-11-17 12:46:00.340870;104330.0;104785.0;104205.0;104445.0;753610
2021-11-17 13:10:00.313470;104450.0;104825.0;104355.0;104560.0;765875
2021-11-17 13:31:00.376970;104555.0;104555.0;103980.0;104105.0;822486
2021-11-17 14:01:00.566030;104105.0;104370.0;103900.0;104315.0;809558
2021-11-17 14:28:00.376900;104315.0;104475.0;104100.0;104335.0;838138
2021-11-17 14:47:00.240070;104335.0;104355.0;103710.0;103855.0;853610
2021-11-17 15:05:00.472330;103855.0;104045.0;103310.0;103400.0;867171
2021-11-17 15:22:00.288730;103400.0;103590.0;102985.0;103015.0;866831
2021-11-17 15:46:00.420200;103020.0;103430.0;102915.0;103280.0;802576
2021-11-17 16:17:00.098230;103280.0;103520.0;103080.0;103290.0;788461
2021-11-17 16:47:00.254670;103290.0;103940.0;103255.0;103740.0;836649
2021-11-17 17:13:00.516630;103740.0;103915.0;103270.0;103440.0;829243
2021-11-17 17:55:00.334170;103445.0;103670.0;103300.0;103620.0;770283
2021-11-03 09:09:00.329800;103620.0;105470.0;103370.0;105305.0;669375
2021-11-03 09:31:00.036430;105305.0;105400.0;105010.0;105300.0;728522
2021-11-03 09:49:00.511430;105300.0;105620.0;105205.0;105620.0;768577
2021-11-03 10:05:00.108700;105620.0;105680.0;105200.0;105240.0;785298
2021-11-03 10:16:00.468070;105240.0;105765.0;105210.0;105740.0;781694
2021-11-03 10:28:00.408670;105740.0;105915.0;105380.0;105570.0;775905
2021-11-03 10:39:00.409930;105570.0;105665.0;105030.0;105035.0;780089
2021-11-03 10:53:00.456200;105035.0;105165.0;104830.0;105065.0;777519
2021-11-03 11:07:00.075730;105065.0;105670.0;105035.0;105515.0;796677
2021-11-03 11:21:00.125830;105515.0;105850.0;105375.0;105725.0;794214
2021-11-03 11:32:00.107800;105720.0;106330.0;105685.0;106180.0;844314
2021-11-03 11:47:00.495700;106180.0;106460.0;106050.0;106460.0;837851
2021-11-03 12:04:00.370970;106460.0;106590.0;105955.0;106010.0;857831
2021-11-03 12:22:00.032370;106010.0;106340.0;105910.0;106105.0;842176
2021-11-03 12:36:00.355470;106110.0;106775.0;105875.0;106755.0;820719
2021-11-03 12:48:00.574370;106755.0;107425.0;106715.0;107380.0;866879
2021-11-03 13:06:00.332670;107385.0;107635.0;107120.0;107265.0;819932
2021-11-03 13:30:00.098570;107265.0;107515.0;106985.0;107025.0;803178
2021-11-03 13:53:00.574670;107025.0;107130.0;106615.0;106645.0;839002
2021-11-03 14:15:00.348970;106640.0;106660.0;106310.0;106415.0;849113
2021-11-03 14:37:00.525570;106415.0;106430.0;105825.0;105910.0;853304
2021-11-03 15:00:00.061070;105905.0;106020.0;105600.0;105715.0;756686
2021-11-03 15:09:00.495800;105715.0;106435.0;105560.0;105955.0;631156
2021-11-03 15:29:00.234530;105950.0;106375.0;105805.0;105945.0;759096
2021-11-03 15:47:00.453700;105945.0;106280.0;105705.0;106280.0;772976
2021-11-03 15:57:00.363600;106280.0;107545.0;106280.0;107495.0;807964
2021-11-03 16:18:00.071130;107495.0;107505.0;106705.0;106820.0;823312
2021-11-03 16:43:00.393400;106820.0;107230.0;106665.0;106925.0;867542
2021-11-03 17:13:00.584600;106925.0;107090.0;106460.0;106820.0;843470
2021-11-01 09:06:00.225170;106820.0;107440.0;105120.0;105135.0;692722
2021-11-01 09:27:00.572600;105135.0;105490.0;105070.0;105360.0;704475
2021-11-01 09:49:00.116930;105360.0;105745.0;105345.0;105710.0;732957
2021-11-01 10:07:00.434770;105710.0;105920.0;105595.0;105650.0;745802
2021-11-01 10:19:00.505870;105655.0;105805.0;105380.0;105675.0;750161
2021-11-01 10:33:00.003370;105675.0;105695.0;105170.0;105500.0;776852
2021-11-01 10:46:00.174570;105500.0;105700.0;105350.0;105480.0;767328
2021-11-01 10:58:00.355370;105475.0;105845.0;105315.0;105665.0;798625
2021-11-01 11:12:00.516170;105670.0;106060.0;105470.0;105780.0;866216
2021-11-01 11:29:00.477530;105780.0;106200.0;105770.0;106065.0;852998
2021-11-01 11:47:00.003830;106065.0;106280.0;105850.0;106155.0;831037
2021-11-01 12:01:00.273630;106160.0;106165.0;105600.0;105740.0;802782
2021-11-01 12:20:00.008870;105735.0;105950.0;105450.0;105645.0;810455
2021-11-01 12:37:00.350870;105645.0;105980.0;105580.0;105835.0;807682
2021-11-01 13:02:00.492470;105835.0;106345.0;105795.0;106240.0;852730
2021-11-01 13:28:00.398470;106240.0;106485.0;106175.0;106235.0;864385
2021-11-01 13:50:00.530330;106235.0;106720.0;106135.0;106695.0;861442
2021-11-01 14:17:00.080570;106695.0;106805.0;106470.0;106585.0;902561
2021-11-01 14:41:00.451170;106585.0;106930.0;106465.0;106745.0;898558
2021-11-01 15:06:00.017670;106745.0;106780.0;106425.0;106425.0;868294
2021-11-01 15:32:00.202670;106425.0;106570.0;106305.0;106470.0;870130
2021-11-01 15:58:00.571470;106470.0;106565.0;106235.0;106515.0;893495
2021-11-01 16:29:00.020400;106515.0;106850.0;106405.0;106600.0;897379
2021-11-01 17:05:00.255370;106600.0;106735.0;106345.0;106355.0;872585
2021-11-01 17:46:00.338200;106355.0;106500.0;106095.0;106355.0;798609
2021-11-29 09:16:00.105170;106355.0;106360.0;103530.0;104020.0;668235
2021-11-29 09:35:00.444200;104020.0;104245.0;103875.0;104155.0;713354
2021-11-29 10:00:00.312300;104160.0;104310.0;104040.0;104070.0;751284
2021-11-29 10:12:00.531570;104070.0;104195.0;103815.0;104030.0;779218
2021-11-29 10:24:00.515070;104030.0;104295.0;103750.0;103945.0;814425
